Высота (для RBT -1) | Количество элементов
--------------------|---------------------
        6           |          10
        8           |          20
        9           |          30
        9           |          40
        10          |          50
        10          |          60
        13          |          70
        13          |          80
        13          |          90
        13          |          100
        13          |          110
        14          |          120
        14          |          130
        14          |          140
        15          |          150
        15          |          160
        15          |          170
        15          |          180
        16          |          190
        16          |          200
        16          |          210
        16          |          220
        17          |          230
        17          |          240
        17          |          250
        17          |          260
        17          |          270
        17          |          280
        17          |          290
        17          |          300
        18          |          310
        18          |          320
        18          |          330
        18          |          340
        18          |          350
        18          |          360
        19          |          370
        19          |          380
        19          |          390
        19          |          400
        19          |          410
        19          |          420
        19          |          430
        19          |          440
        20          |          450
        20          |          460
        20          |          470
        20          |          480
        20          |          490
        21          |          500
        21          |          510
        21          |          520
        21          |          530
        21          |          540
        21          |          550
        21          |          560
        22          |          570
        22          |          580
        22          |          590
        22          |          600
        22          |          610
        22          |          620
        22          |          630
        22          |          640
        22          |          650
        22          |          660
        22          |          670
        22          |          680
        23          |          690
        23          |          700
        23          |          710
        23          |          720
        24          |          730
        24          |          740
        25          |          750
        25          |          760
        25          |          770
        25          |          780
        25          |          790
        25          |          800
        25          |          810
        25          |          820
        25          |          830
        26          |          840
        26          |          850
        26          |          860
        26          |          870
        26          |          880
        26          |          890
        26          |          900
        26          |          910
        26          |          920
        26          |          930
        26          |          940
        26          |          950
        26          |          960
        26          |          970
        26          |          980
        26          |          990
        26          |          1000
        26          |          1010
        26          |          1020
        26          |          1030
        26          |          1040
        26          |          1050
        26          |          1060
        26          |          1070
        26          |          1080
        26          |          1090
        26          |          1100
        26          |          1110
        26          |          1120
        26          |          1130
        26          |          1140
        26          |          1150
        26          |          1160
        26          |          1170
        26          |          1180
        26          |          1190
        26          |          1200
        26          |          1210
        26          |          1220
        26          |          1230
        26          |          1240
        26          |          1250
        26          |          1260
        26          |          1270
        26          |          1280
        26          |          1290
        26          |          1300
        26          |          1310
        26          |          1320
        26          |          1330
        26          |          1340
        26          |          1350
        26          |          1360
        26          |          1370
        26          |          1380
        26          |          1390
        26          |          1400
        26          |          1410
        27          |          1420
        27          |          1430
        27          |          1440
        27          |          1450
        27          |          1460
        27          |          1470
        27          |          1480
        27          |          1490
        27          |          1500
        27          |          1510
        27          |          1520
        27          |          1530
        27          |          1540
        27          |          1550
        27          |          1560
        27          |          1570
        27          |          1580
        27          |          1590
        27          |          1600
        27          |          1610
        27          |          1620
        27          |          1630
        27          |          1640
        27          |          1650
        27          |          1660
        27          |          1670
        27          |          1680
        27          |          1690
        27          |          1700
        27          |          1710
        27          |          1720
        27          |          1730
        27          |          1740
        27          |          1750
        27          |          1760
        27          |          1770
        27          |          1780
        27          |          1790
        27          |          1800
        27          |          1810
        27          |          1820
        27          |          1830
        27          |          1840
        27          |          1850
        27          |          1860
        27          |          1870
        27          |          1880
        27          |          1890
        27          |          1900
        27          |          1910
        27          |          1920
        27          |          1930
        27          |          1940
        27          |          1950
        27          |          1960
        27          |          1970
        28          |          1980
        28          |          1990
        28          |          2000
        28          |          2010
        28          |          2020
        28          |          2030
        28          |          2040
        28          |          2050
        28          |          2060
        28          |          2070
        28          |          2080
        28          |          2090
        28          |          2100
        28          |          2110
        28          |          2120
        28          |          2130
        28          |          2140
        28          |          2150
        28          |          2160
        28          |          2170
        28          |          2180
        28          |          2190
        28          |          2200
        28          |          2210
        28          |          2220
        28          |          2230
        28          |          2240
        28          |          2250
        28          |          2260
        28          |          2270
        28          |          2280
        28          |          2290
        28          |          2300
        28          |          2310
        28          |          2320
        28          |          2330
        28          |          2340
        28          |          2350
        28          |          2360
        28          |          2370
        28          |          2380
        28          |          2390
        28          |          2400
        28          |          2410
        28          |          2420
        28          |          2430
        28          |          2440
        28          |          2450
        28          |          2460
        28          |          2470
        28          |          2480
        28          |          2490
        28          |          2500
        28          |          2510
        28          |          2520
        28          |          2530
        28          |          2540
        28          |          2550
        28          |          2560
        28          |          2570
        28          |          2580
        28          |          2590
        28          |          2600
        28          |          2610
        28          |          2620
        28          |          2630
        29          |          2640
        29          |          2650
        29          |          2660
        29          |          2670
        29          |          2680
        29          |          2690
        29          |          2700
        29          |          2710
        29          |          2720
        29          |          2730
        29          |          2740
        29          |          2750
        29          |          2760
        29          |          2770
        29          |          2780
        29          |          2790
        29          |          2800
        29          |          2810
        29          |          2820
        29          |          2830
        29          |          2840
        29          |          2850
        29          |          2860
        29          |          2870
        29          |          2880
        29          |          2890
        29          |          2900
        29          |          2910
        30          |          2920
        30          |          2930
        30          |          2940
        30          |          2950
        30          |          2960
        30          |          2970
        30          |          2980
        30          |          2990
        30          |          3000
        30          |          3010
        30          |          3020
        30          |          3030
        30          |          3040
        30          |          3050
        30          |          3060
        30          |          3070
        30          |          3080
        30          |          3090
        30          |          3100
        30          |          3110
        30          |          3120
        30          |          3130
        30          |          3140
        30          |          3150
        30          |          3160
        30          |          3170
        30          |          3180
        30          |          3190
        30          |          3200
        30          |          3210
        30          |          3220
        30          |          3230
        30          |          3240
        30          |          3250
        30          |          3260
        30          |          3270
        30          |          3280
        30          |          3290
        30          |          3300
        30          |          3310
        30          |          3320
        30          |          3330
        30          |          3340
        30          |          3350
        30          |          3360
        30          |          3370
        30          |          3380
        30          |          3390
        30          |          3400
        30          |          3410
        30          |          3420
        30          |          3430
        30          |          3440
        30          |          3450
        30          |          3460
        30          |          3470
        30          |          3480
        30          |          3490
        30          |          3500
        30          |          3510
        30          |          3520
        30          |          3530
        30          |          3540
        30          |          3550
        30          |          3560
        30          |          3570
        30          |          3580
        30          |          3590
        30          |          3600
        30          |          3610
        30          |          3620
        30          |          3630
        30          |          3640
        30          |          3650
        30          |          3660
        30          |          3670
        30          |          3680
        30          |          3690
        30          |          3700
        30          |          3710
        30          |          3720
        30          |          3730
        30          |          3740
        30          |          3750
        30          |          3760
        30          |          3770
        30          |          3780
        30          |          3790
        30          |          3800
        30          |          3810
        30          |          3820
        30          |          3830
        30          |          3840
        30          |          3850
        30          |          3860
        30          |          3870
        30          |          3880
        30          |          3890
        30          |          3900
        30          |          3910
        30          |          3920
        30          |          3930
        30          |          3940
        30          |          3950
        30          |          3960
        30          |          3970
        30          |          3980
        30          |          3990
        30          |          4000
        30          |          4010
        30          |          4020
        30          |          4030
        30          |          4040
        30          |          4050
        30          |          4060
        30          |          4070
        30          |          4080
        30          |          4090
        30          |          4100
        30          |          4110
        30          |          4120
        30          |          4130
        30          |          4140
        30          |          4150
        30          |          4160
        30          |          4170
        30          |          4180
        30          |          4190
        30          |          4200
        30          |          4210
        30          |          4220
        30          |          4230
        30          |          4240
        30          |          4250
        30          |          4260
        30          |          4270
        30          |          4280
        30          |          4290
        30          |          4300
        30          |          4310
        30          |          4320
        30          |          4330
        30          |          4340
        30          |          4350
        30          |          4360
        30          |          4370
        30          |          4380
        30          |          4390
        30          |          4400
        30          |          4410
        30          |          4420
        30          |          4430
        30          |          4440
        30          |          4450
        30          |          4460
        30          |          4470
        30          |          4480
        30          |          4490
        30          |          4500
        30          |          4510
        30          |          4520
        30          |          4530
        30          |          4540
        30          |          4550
        30          |          4560
        30          |          4570
        30          |          4580
        30          |          4590
        30          |          4600
        30          |          4610
        30          |          4620
        30          |          4630
        30          |          4640
        30          |          4650
        30          |          4660
        30          |          4670
        30          |          4680
        30          |          4690
        30          |          4700
        30          |          4710
        30          |          4720
        30          |          4730
        30          |          4740
        30          |          4750
        30          |          4760
        30          |          4770
        30          |          4780
        30          |          4790
        30          |          4800
        30          |          4810
        30          |          4820
        30          |          4830
        30          |          4840
        30          |          4850
        30          |          4860
        30          |          4870
        30          |          4880
        30          |          4890
        30          |          4900
        30          |          4910
        30          |          4920
        30          |          4930
        30          |          4940
        30          |          4950
        30          |          4960
